9
0.0	0.0	-10.0
0.0	1.0	10.0
1.0	0.0	28.0
1.0	1.0	-1.0
1.0	5.0	-1.0
2.0	2.0	-2.6667
2.0	4.0	1.0
0.00	10.00	1.00	1.00
0.01	9.41	3.00	1.13
0.02	8.92	5.36	1.47
0.03	8.68	7.83	2.06
0.04	8.74	10.43	2.95
0.05	9.11	13.10	4.19
0.07	9.80	15.87	5.88
0.08	10.82	18.76	8.20
0.10	12.18	21.69	11.41
0.11	13.88	24.45	15.86
0.13	15.92	26.52	22.18
0.15	17.23	26.90	27.03
0.16	18.47	26.05	32.65
0.17	19.24	24.08	37.38
0.19	19.64	21.02	41.53
0.20	19.57	17.08	44.76
0.21	19.14	13.37	46.55
0.22	18.39	9.55	47.48
0.23	17.33	5.85	47.59
0.24	16.03	2.47	47.00
0.25	14.55	-0.47	45.88
0.26	12.95	-2.89	44.39
0.27	11.30	-4.80	42.71
0.28	9.15	-6.59	40.43
0.30	6.50	-7.98	37.61
0.32	4.38	-8.56	35.42
0.33	2.24	-8.78	33.28
0.35	0.44	-8.74	31.53
0.37	-1.05	-8.57	30.12
0.39	-2.42	-8.34	28.81
0.41	-3.59	-8.15	27.68
0.44	-4.49	-8.04	26.79
0.46	-5.20	-8.03	26.09
0.48	-5.77	-8.12	25.54
0.50	-6.26	-8.30	25.14
0.52	-6.69	-8.55	24.87
0.55	-7.13	-8.88	24.72
0.57	-7.57	-9.26	24.74
0.60	-8.03	-9.68	24.95
0.63	-8.49	-10.07	25.37
0.66	-8.94	-10.37	25.99
0.69	-9.34	-10.51	26.75
0.72	-9.63	-10.43	27.56
0.75	-9.80	-10.14	28.33
0.78	-9.82	-9.61	28.99
0.81	-9.67	-8.95	29.39
0.84	-9.37	-8.23	29.50
0.88	-8.97	-7.57	29.31
0.91	-8.51	-7.03	28.87
0.94	-8.05	-6.67	28.25
0.97	-7.65	-6.49	27.52
1.01	-7.30	-6.49	26.69
1.05	-7.07	-6.73	25.79
1.09	-7.04	-7.25	24.97
1.13	-7.25	-7.96	24.45
1.17	-7.58	-8.64	24.32
1.21	-8.03	-9.37	24.52
1.25	-8.57	-10.02	25.07
1.28	-9.04	-10.43	25.81
1.31	-9.47	-10.61	26.73
